frame,player1,player2
00003,-,1
00012,-,1
00031,4,1
00039,7,1
00040,7,1
00048,-,1
00058,14,1
00067,-,1
00089,-,1
00106,23,1
00122,26,1
00130,-,1
00142,-,29
00146,30,29
00169,33,-
00183,33,-
00194,39,-
00202,40,-
00210,40,-
00219,40,-
00234,40,-
00237,40,-
00240,40,-
00245,40,-
00253,40,-
00268,40,-
00270,40,-
00286,40,-
00290,40,-
00297,40,-
00305,-,-
00310,-,-
00315,-,-
00333,-,-
00337,-,73
00352,-,73
00358,-,73
00369,81,73
00370,81,73
00375,-,73
00379,-,73
00391,-,73
00394,-,73
00442,97,73
00461,-,73
00474,-,73
00493,-,73
00514,-,73
00519,-,73
00525,-,73
00539,-,73
00546,-,73
00551,-,73
00552,-,73
00562,-,73
00567,118,73
00571,119,73
00581,-,73
00582,-,73
00589,-,73
00592,-,73
00604,128,73
00610,129,73
00619,-,73
00620,132,73
00638,136,73
00647,136,73
00653,-,73
00657,141,73
00679,-,73
00680,-,73
00690,150,73
00698,151,73
00710,151,73
00735,156,73
00796,-,73
00798,-,73
00804,-,73
00828,171,73
00848,171,173
00875,-,173
00898,-,173
00997,-,173
01056,180,173
01080,180,173
01105,183,173
01117,-,173
01141,-,173
01148,-,173
01159,-,173
01166,-,173
01182,-,173
01198,-,173
01205,-,173
01208,-,173
01214,-,173
01215,-,173
01224,-,173
01230,-,173
01234,-,173
01242,-,173
01256,-,173
01274,-,173
01277,-,173
01280,-,173
01300,-,173
01310,-,173
01334,-,173
01340,-,173
01366,-,173
01367,232,173
01371,232,173
01378,232,173
01384,232,173
01398,232,173
01399,232,173
01400,232,173
01405,232,173
01407,-,173
01433,-,173
01442,-,173
01447,-,173
01464,-,173
01466,255,173
01472,256,173
01480,258,173
01558,-,173
01561,262,173
01578,264,173
01586,265,173
01599,-,173
01607,-,173
01615,-,173
01620,-,173
01621,-,173
01640,-,173
01650,-,173
01654,276,173
01662,278,173
01664,278,173
01677,278,173
01733,-,173
01736,-,173
01739,-,173
01757,-,173
01764,-,173
01767,291,173
01771,293,173
01778,293,173
01795,293,173
01799,-,173
01805,-,300
01807,-,300
01818,-,300
01828,-,300
01836,-,300
01845,-,300
01847,309,300
01852,-,300
01853,313,300
01870,-,300
01873,316,300
01883,318,300
01894,-,300
01896,323,300
01912,-,327
01998,-,327
02003,-,327
02020,-,327
02073,-,327
02080,-,327
02116,353,327
02121,353,327
02140,356,327
02147,357,327
02161,357,327
02226,357,327
02227,357,327
02234,363,327
02239,365,327
02246,365,327
02264,-,327
02272,371,-
02278,-,374
02282,375,374
02283,375,374
02293,378,374
02295,378,374
02304,-,374
02325,390,374
02330,-,374
02368,-,374
02381,-,374
02389,-,374
02390,-,374
02399,412,374
02405,412,374
02423,-,374
02436,-,374
02454,-,374
02455,420,374
02478,-,374
02481,-,374
02488,-,374
02492,-,374
02501,-,374
02525,-,374
02530,-,374
02540,-,374
02543,438,374
02613,445,-
02622,446,-
02646,449,-
02652,451,-
02656,-,-
02659,453,-
02665,-,-
02670,-,-
02676,-,-
02701,-,463
02705,-,464
02717,-,467
02720,-,-
02723,-,469
02739,-,472
02742,-,472
02747,-,472
02759,-,477
02765,-,477
02768,-,477
02770,481,477
02777,-,477
02790,-,477
02810,488,477
02837,492,477
02846,493,477
02855,494,477
02878,495,477
02882,496,477
02886,497,477
02887,497,477
02907,502,477
02913,503,477
02928,504,477
02935,505,477
02957,-,506
02958,507,506
02978,509,506
02997,511,506
03006,512,506
03013,-,506
03015,515,506
03020,516,506
03031,-,506
03040,-,506
03045,-,506
03051,-,506
03056,-,506
03060,-,506
03061,-,506
03067,-,-
03068,-,530
03079,-,532
03099,-,537
03102,-,537
03108,-,537
03127,-,537
03135,-,537
