start,end,labels
48.48002229808343,48.588355797629546,OA
49.1050232570033,49.23835679490622,OB
56.68003487911216,56.805035070896146,OA
57.796703259048996,57.91337010471405,OB
68.33005275337858,68.44671959904363,OB
69.15505401915281,69.29672090317466,XA
69.73005490135911,69.86338843926201,OB
78.7134020175674,78.85506890158925,OB
79.52173659110377,79.69673685960134,XA
79.74673693631493,79.88007047421785,XB
80.88007200848963,81.06340562310612,OA
81.31340600667407,81.44673954457699,OB
81.74674000485851,81.8467401582857,XA
82.31340754094586,82.45507442496772,OB
82.88007507703321,83.07174203776864,OA
83.48840934371523,83.638409573856,OB
92.34675626813956,92.45508976768566,OA
94.05509222252056,94.23009249101811,OB
103.30510641453466,103.4467732985565,OA
105.10510917622389,105.2384427141268,OB
117.33846127881553,117.47179481671843,OB
117.91346216102183,118.01346231444899,OA
118.3301294669684,118.47179635099023,XB
123.61347090637105,123.76347113651182,OB
125.32180686075203,125.43014036029814,XA
125.88014105072045,125.99680789638549,OB
126.38014181785636,126.49680866352139,XA
126.93847600782478,127.08014289184662,OB
127.51347689003106,127.64681042793397,XA
129.70514691931007,129.8134804188562,OB
130.78014856865227,130.93014879879303,XA
132.49681786915218,132.6551514454119,OB
133.40515259611573,133.5301527878997,XA
135.92182312403307,136.055156661936,OB
146.77183977088208,146.9385066932607,OA
147.38850738368302,147.5468409599427,XB
148.69684272435526,148.87184299285283,OA
149.38017710610765,149.5385106823674,XB
158.40519095291063,158.54685783693247,OA
159.1551921036145,159.2635256031606,OB
165.88020242159232,166.02186930561416,OB
177.18855310498253,177.32188664288546,OB
177.93022090956745,178.03022106299466,XA
178.56355521460625,178.69688875250915,OB
184.37189745950158,184.4802309590477,OB
185.33023226317874,185.46356580108164,XA
185.9218998376229,186.04690002940686,OB
219.12195077544652,219.2719510055873,OB
219.7219516960096,219.88861861838825,XA
220.51361957730813,220.64695311521103,OB
227.18862981857234,227.3136300103563,OB
228.87196573459656,228.9719658880237,XA
229.52196673187322,229.65530026977612,OB
229.93863403781978,230.08863426796057,XA
230.34696799764743,230.48030153555032,OB
230.91363553373478,231.0219690332809,OA
231.20530264789738,231.3303028396814,OB
231.80530356846046,231.93030376024444,XA
232.17197079769346,232.34697106619103,OB
241.7469854883459,241.8969857184867,OA
243.26365448199147,243.4553214427269,OB
243.7969886336031,243.93865551762494,XA
244.34698947745258,244.49698970759334,OB
250.47199887486732,250.63033245112703,OA
252.34700175162695,252.47200194341093,OB
259.65534629792995,259.79701318195185,OB
261.52201582857066,261.67201605871145,XA
262.1303500952527,262.2053502103231,OB
262.5386840550803,262.6053508240318,OA
274.530369120223,274.65536931200694,OB
275.52203730837584,275.65537084627874,OA
275.91370457596565,276.0220380755117,OB
276.3470385741501,276.47203876593403,OA
276.5637055732423,276.65537238055055,OB
277.3470401084218,277.4637069540869,XA
278.305374912099,278.45537514223975,OB
278.9387092171378,279.0970427933975,XA
303.43041346067787,303.5554136524618,OA
305.20541618401035,305.33874972191325,XB
305.9387506424763,306.0720841803792,OA
306.3554179484229,306.4970848324447,OB
306.71375183153697,306.8637520616777,OA
307.2887527137432,307.4637529822408,OB
307.91375367266306,308.0137538260903,OA
308.51375459322617,308.6220880927723,XB
327.35545016813063,327.4804503599145,OA
328.90545254625187,329.0387860841548,OB
329.497120120696,329.6387870047178,OA
340.7471373812537,340.9304709958702,OB
342.21380629818566,342.3721398744454,OA
342.7638071420352,342.87214064158127,OB
352.9388227532507,353.05548959891576,OB
354.68882543822633,354.86382570672396,XA
355.5304933962384,355.66382693414135,OB
356.12216097068256,356.2388278163476,XA
356.7304952373646,356.88049546750534,OB
357.1554958894301,357.27216273509515,XA
359.7054998018232,359.82216664748825,OB
360.4971676831217,360.6055011826678,XA
371.03051717745126,371.188850753711,OA
373.7388546661041,373.9305216268395,XB
378.2388615703272,378.45552856941936,OA
379.8555307173999,380.0055309475407,OB
380.2388646388707,380.3805315228926,XA
389.3722119852198,389.5222122153606,OA
391.0888812857197,391.2472148619794,XB
391.7472156291153,391.90554920537505,OA
392.155549588943,392.2972164729648,OB
392.73888381726823,392.84721731681435,XA
393.1305510848579,393.247217930523,OB
414.43058376484726,414.58058399498805,OB
415.29725176121616,415.44725199135695,XA
415.90558602789815,416.0722529502768,OB
416.3389200260826,416.4805869101045,OA
416.73892063979133,416.8722541776942,OB
417.1389212535,417.2889214836408,OA
417.69725544346846,417.83892232749025,XB
418.28892301791257,418.43892324805336,OA
418.72225701609705,418.84725720788106,XB
427.78893759349467,427.9389378236354,OB
429.5222735862325,429.66394047025426,OA
441.25562492168814,441.3889584595911,OA
442.93062749159344,443.0889610678531,OB
449.88897150090133,450.01397169268535,OA
451.4806406096173,451.5889741091634,OB
451.9139746078018,452.0306414534668,XA
452.3473086059862,452.46397545165127,OB
452.8973094498357,453.06397637221426,OA
453.5056437165177,453.6389772544206,OB
466.38899681638594,466.51399700816995,OB
468.12233280912375,468.23066630866987,OA
468.51400007671356,468.63900026849757,OB
468.93900072877904,469.0390008822062,XA
478.36401518929074,478.51401541943153,OB
480.1140178742664,480.24735141216934,XA
480.6973521025916,480.81401894825666,XB
481.64735356014984,481.83902052088524,OA
482.239021134594,482.38902136473473,OB
515.1953007929368,515.3225732716837,OA
515.6043909031947,515.7498451646197,XB
516.3952984496934,516.5316618197794,OA
526.2770973352581,526.4680060533785,OA
527.9589122329853,528.1316391684276,XB
528.7952742361794,528.9225467149263,OA
529.168000781081,529.3225459338452,XB
529.5498182173219,529.6861815874078,OA
530.1316352630221,530.3043621984643,OB
530.549816264619,530.7407249827395,XA
531.367996485135,531.5498143119163,OB
549.567960945945,549.71341520737,OB
550.0225055128982,550.1679597743233,XA
550.549777210564,550.6952314719891,OB
559.3043055700846,559.4133962661534,OB
560.9497569024554,561.1224838378978,OA
571.1770096589047,571.3042821376515,OA
571.7406449219268,571.9042809660299,OB
580.2406283239534,580.3860825853784,OA
581.7497162862383,581.8860796563243,XB
582.7678961162137,582.9042594862997,OA
582.958804834334,583.09516820442,XB
583.3497131619139,583.4769856406608,XA
599.1678640918885,599.367863701348,OB
600.6496793801563,600.8224063155986,XA
601.3496780132645,601.5133140573676,OB
601.7678590148614,601.9314950589646,XA
609.9132976546645,610.0678428074285,OB
611.7132941397995,611.8951119665809,XA
612.1314751413965,612.2769294028216,OB
612.758746643792,612.9042009052172,XA
613.3042001241361,613.4678361682393,OB
613.9041989525143,614.0587441052785,XA
625.8678119547252,626.0405388901675,OA
632.9496163078575,633.0950705692825,OA
633.6768876149828,633.8223418764078,OB
634.2859773347002,634.4223407047862,OA
634.7041583362972,634.8768852717395,OB
635.1496120119115,635.3132480560146,XA
635.504156774135,635.6859746009163,OB
636.0587011458181,636.2587007552775,OA
636.33142788599,636.467791256076,XB
647.5041333417021,647.6586784944661,OA
649.2132209134464,649.3314025008542,OB
659.9132000195269,660.058654280952,OB
661.7859236353745,661.9404687881387,XA
662.4404678117874,662.6131947472295,OB
662.8586488133844,662.9950121834703,XA
673.4677190060743,673.6131732674994,OB
675.3495335132609,675.5040786660251,XA
675.8040780802143,675.9313505589611,OB
694.0131334323632,694.2494966071789,OA
695.3949489159012,695.5767667426826,XB
696.2131291364171,696.3676742891812,OA
696.5222194419454,696.6313101380142,OB
697.0949455963065,697.2494907490707,OA
697.4585812498692,697.5949446199552,OB
698.0676709695866,698.249488796368,OA
698.7222151459994,698.8858511901026,OB
699.3494866483949,699.5313044751762,OA
700.1403941948937,700.3131211303358,XB
709.8040116883207,709.9131023843895,OA
711.376735889979,711.5221901514042,XB
712.3130976979028,712.458551959328,OA
712.9403692002984,713.0858234617235,OB
719.2312660069321,719.3949020510353,OB
721.0676260574234,721.2312621015266,XA
721.6039886464282,721.7585337991924,OB
721.8858062779393,722.0494423220424,OA
733.1039661903466,733.2585113431107,OB
734.9039626754817,735.0675987195848,XA
735.4948706125209,735.6766884393022,OB
735.8675971574227,736.0585058755431,XA
736.3857779637494,736.5494140078526,OB
737.0585039228403,737.2039581842654,XA
749.9221151676186,750.0584785377046,OA
751.9402930448912,752.067565523638,XB
752.894836635493,753.0675635709354,OA
753.4039265504807,753.5402899205668,XB
789.849309928796,790.0038550815601,OB
791.2493071950122,791.3856705650982,OB
791.7220335446436,791.9038513714249,OB
802.7803534479706,802.9034301967401,OB
803.5957369085694,803.718813657339,OA
803.9188133740897,804.0726593100517,OB
804.318812807591,804.4495818531587,OA
804.7957352090734,804.9034273642468,OB
814.7572595626158,814.9034132017797,OA
815.4572585712431,815.5572584296184,XB
816.0649500182932,816.203411360659,OA
816.5341801229774,816.6649491685451,XB
908.1109735043843,908.2186656595578,OA
908.8955877777909,908.9955876361662,OB
909.5494330056295,909.6878943479953,OA
910.0494322975062,910.1571244526796,XB
920.6648018788871,920.7724940340606,OB
921.3417239971202,921.4417238554955,OA
921.7032619466311,921.8571078825931,XB
930.9032489171614,931.0186333691329,OB
931.5494018482019,931.6647863001734,XA
932.1186318112615,932.2724777472235,OB
932.6647848839267,932.7724770391002,OA
933.3340147053616,933.4647837509293,XB
933.9263215588155,934.0724751979794,OA
934.5263207090674,934.6570897546352,OB
950.8339899210441,950.9493743730156,OA
951.4493736648924,951.5570658200658,OB
967.0185823842513,967.1801206170114,OA
967.8570427352445,967.980119484014,XB
973.6570345210134,973.8108804569755,OA
974.1493415160921,974.2954951552559,OB
987.233938369664,987.3647074152316,OB
987.8723990039065,987.9723988622818,OA
988.6185517933224,988.7339362452939,XB
989.0954741948046,989.2647047243629,OA
989.6954733450566,989.8108577970281,XB
1000.9262266702858,1001.0723803094498,OB
1001.4877643365473,1001.6031487885189,OA
1001.9031483636448,1002.0185328156164,OB
1017.5262031605905,1017.6492799093601,OA
1018.3185097307951,1018.4338941827665,OB
1031.4646449587517,1031.6107985979156,OA
1032.3646436841298,1032.5107973232937,OB
1032.9261813503913,1033.0415658023626,OA
1033.3107961902963,1033.4415652358641,XB
1043.749242945321,1043.8646273972925,OA
1045.256933117749,1045.4184713505092,XB
1055.3876880008497,1055.5107647496193,OB
1056.8569166892871,1056.9646088444606,XA
1057.5030696203278,1057.6338386658956,OB
1058.041530396195,1058.1569148481665,XA
1069.772283013301,1069.8799751684744,OB
1076.264581510899,1076.3876582596688,OB
1076.8107345835645,1076.94919592593,XA
1092.895327188396,1093.026096233964,OA
1093.8184028041685,1093.9645564433324,XB
1094.5107095159976,1094.6645554519596,XA
1095.1953239310287,1095.3184006797983,OB
1095.59532336453,1095.733784706896,XA
1097.0568597561694,1097.172244208141,OB
1097.633782016027,1097.7568587647968,XA
1099.879932681073,1100.0337786170348,OB
1100.5876239864983,1100.7722391096527,XA
1102.056852674936,1102.1876217205036,OB
1102.7953131675538,1102.9106976195253,OA
1104.3799263079627,1104.4953107599345,OB
1144.949099621154,1145.095253260318,OA
1146.233713186437,1146.449097496784,OB
1147.0414043502376,1147.149096505411,OA
1159.527448670389,1159.648877428122,OB
1159.9845922289132,1160.0988781185442,OA
1160.5488788089667,1160.6560218304958,OB
1160.8345935330442,1160.9488794226754,XA
1216.106106905867,1216.2275356635998,OB
1216.677536354022,1216.8061079798572,OA
1217.1132513082405,1217.2203943297698,OB
1217.3703945599104,1217.4632518452356,OA
1235.484708066434,1235.598993956065,OA
1236.9347102911279,1237.048996180759,OB
1237.184710674696,1237.3061394324288,OA
1237.7418543866474,1237.8489974081765,OB
1253.1704494868409,1253.2990211126757,OA
1254.7918805459815,1254.9133093037144,OB
