start,end,labels
77.76126532585296,77.86125302452527,OA
78.39545904293517,78.47044971901109,XB
78.9787198568589,79.04537823559305,XA
79.56105305174263,79.60271453845147,OB
91.54197714717345,91.58363863388229,OA
92.19189633983132,92.2502224212237,XB
92.73349566704621,92.80015404578036,OA
93.11492610668752,93.16491989073812,XB
93.59819935251004,93.6565254339024,OA
109.02961402946349,109.07127551617232,OB
109.7711884928808,109.85451146629846,OA
110.38777849617159,110.4627691722475,OB
110.68774120047522,110.7460672818676,XA
111.35432498781663,111.412651069209,OB
125.55718961637938,125.61551569777174,OB
126.22562864180077,126.31728391256023,OA
126.72093652411594,126.79592720019184,XB
127.19217513344582,127.2754981068635,XA
141.31818571084352,141.40984098160294,OA
141.9736706177414,142.06532588850084,XB
142.68191589179162,142.78190345989285,OA
143.05408641505116,143.12907709112707,XB
157.1393793987983,157.23103466955772,OA
157.7726339967726,157.84762467284853,XB
158.2642395399369,158.33089791867104,XA
159.1085681545572,159.16689423594957,XB
159.72515815784797,159.80848113126564,OA
160.05845005151866,160.1584376196199,XB
160.55654892796298,160.6315396040389,OA
184.68688202972172,184.7868695978229,OB
185.17848757288598,185.27014284364543,XA
185.85340365756917,185.9200620363033,XB
186.47461548204174,186.57460305014294,XA
187.0995377826743,187.21618994545904,XB
187.89758308940398,187.98923836016343,XA
188.52436062811654,188.616015898876,OB
188.8391326890237,188.93078795978315,XA
189.25298097301032,189.31963935174446,OB
205.73888693620825,205.81387761228416,OB
206.4221353182332,206.56378437304323,XA
207.01372842949866,207.10538370025813,XB
220.835154481411,220.9601389415375,OA
221.42581997363646,221.5091429470542,XB
222.20905592376263,222.30904349186383,OA
222.5006863307245,222.56734470945864,XB
236.25916448006265,236.34248745348035,OA
236.92574826740406,237.00073894347997,XB
237.70898421753026,237.79230719094792,XA
238.50148008403815,238.57647076011406,OB
239.05141170859483,239.10973778998718,XA
255.81413872215103,255.91412629025226,OB
256.42239642810006,256.48905480683425,XA
257.0056572420238,257.0973125127833,XB
257.66390873202346,257.7555640027829,OA
258.0138652203777,258.0721913017701,XB
259.04707009075685,259.17205455088333,OA
259.9969519877183,260.10527185316136,OB
260.796852532528,260.88850780328744,OA
261.2514346841835,261.3180930629176,OB
261.92635076886666,262.02633833696785,XA
263.0845400993723,263.1595307754483,XB
264.0520142100574,264.1520017781586,OA
282.50805282207244,282.59137579549014,OB
283.1746366094138,283.24129498814796,OA
305.36631101364253,305.4746308790855,OA
306.08288858503454,306.18287615313574,XB
306.61615561490765,306.6994785883253,XA
307.4391978136626,307.5225207870803,OB
307.79843049241686,307.865088871151,OA
324.8277910209097,324.9027816969856,OA
325.40271953749163,325.49437480825105,OB
341.2137094160064,341.2803677947405,OB
341.7469764458795,341.8219671219554,XA
342.3968956385374,342.4635540172715,XB
343.07828878248233,343.15327945855825,OA
343.3717744275242,343.4634296982836,XA
362.1675819924717,362.2509049658894,OB
362.72584591437015,362.80083659044607,XA
363.2841098362686,363.37576510702803,XB
363.9497822785882,364.01644065732233,OA
364.35806484833483,364.4413878217525,XB
364.78021288162677,364.8885327470697,XA
365.3153351495798,365.381993528314,OB
365.7569469086935,365.82360528742765,OA
384.4983486210425,384.9982841765676,OA
394.6692543315771,395.09419835415565,OA
395.36736475030165,395.5840052809364,OB
395.65936304158174,395.77601520436644,OA
396.09264250335366,396.259288450189,OB
396.47407294299495,396.6073897004632,OA
397.05733375691864,397.2573088931211,OB
397.7072529495765,397.87389889641184,OA
398.05720943793074,398.27384916881675,XB
418.50837759078826,418.70835272699065,OA
419.2416197568638,419.45825948774973,OB
419.6582346239522,419.8415451654711,OA
444.8995298552678,445.0328466127361,OB
445.4327968851409,445.59944283197626,XA
446.08271607779875,446.216032835267,OB
446.54932472893773,446.7326352704566,XA
447.31589608438037,447.46587743653214,OB
447.7658401408358,447.9324860876712,XA
